n,m,POBLACION,GENERACION,CROSSOVER,MUTACION,NL-LD
10,1,100,100,0.01,0.001,1.17323	
10,1,100,100,0.01,0.0033,1.17518	
10,1,100,100,0.01,0.01,1.17518	
10,1,100,100,0.01,0.033,1.17427	
10,1,100,100,0.01,0.1,1.17128	
10,1,100,100,0.01,0.33,1.17232	
10,1,100,100,0.033,0.001,1.17024	
10,1,100,100,0.033,0.0033,1.16724	
10,1,100,100,0.033,0.01,1.17726	
10,1,100,100,0.033,0.033,1.16828	
10,1,100,100,0.033,0.1,1.16816	
10,1,100,100,0.033,0.33,1.16816	
10,1,100,100,0.1,0.001,1.16828	
10,1,100,100,0.1,0.0033,1.1662	
10,1,100,100,0.1,0.01,1.1662	
10,1,100,100,0.1,0.033,1.17024	
10,1,100,100,0.1,0.1,1.16724	
10,1,100,100,0.1,0.33,1.1692	
10,1,100,100,0.3,0.001,1.16724	
10,1,100,100,0.3,0.0033,1.16724	
10,1,100,100,0.3,0.01,1.16828	
10,1,100,100,0.3,0.033,1.16737	
10,1,100,100,0.3,0.1,1.17219	
10,1,100,100,0.3,0.33,1.16724	
10,1,100,100,0.9,0.001,1.16828	
10,1,100,100,0.9,0.0033,1.16724	
10,1,100,100,0.9,0.01,1.16633	
10,1,100,100,0.9,0.033,1.16425	
10,1,100,100,0.9,0.1,1.16517	
10,1,100,100,0.9,0.33,1.16529	
10,1,100,1000,0.01,0.001,1.18025	
10,1,100,1000,0.01,0.0033,1.17921	
10,1,100,1000,0.01,0.01,1.17531	
10,1,100,1000,0.01,0.033,1.18129	
10,1,100,1000,0.01,0.1,1.17726	
10,1,100,1000,0.01,0.33,1.17726	
10,1,100,1000,0.033,0.001,1.17323	
10,1,100,1000,0.033,0.0033,1.17518	
10,1,100,1000,0.033,0.01,1.17518	
10,1,100,1000,0.033,0.033,1.17818	
10,1,100,1000,0.033,0.1,1.17427	
10,1,100,1000,0.033,0.33,1.17219	
10,1,100,1000,0.1,0.001,1.17024	
10,1,100,1000,0.1,0.0033,1.17024	
10,1,100,1000,0.1,0.01,1.17024	
10,1,100,1000,0.1,0.033,1.1692	
10,1,100,1000,0.1,0.1,1.17128	
10,1,100,1000,0.1,0.33,1.17219	
10,1,100,1000,0.3,0.001,1.1692	
10,1,100,1000,0.3,0.0033,1.1692	
10,1,100,1000,0.3,0.01,1.17336	
10,1,100,1000,0.3,0.033,1.17024	
10,1,100,1000,0.3,0.1,1.17024	
10,1,100,1000,0.3,0.33,1.17232	
10,1,100,1000,0.9,0.001,1.17219	
10,1,100,1000,0.9,0.0033,1.17128	
10,1,100,1000,0.9,0.01,1.1692	
10,1,100,1000,0.9,0.033,1.17024	
10,1,100,1000,0.9,0.1,1.17128	
10,1,100,1000,0.9,0.33,1.17024	
10,1,100,33,0.01,0.001,1.17128	
10,1,100,33,0.01,0.0033,1.16828	
10,1,100,33,0.01,0.01,1.1692	
10,1,100,33,0.01,0.033,1.16816	
10,1,100,33,0.01,0.1,1.16724	
10,1,100,33,0.01,0.33,1.16529	
10,1,100,33,0.033,0.001,1.16724	
10,1,100,33,0.033,0.0033,1.16633	
10,1,100,33,0.033,0.01,1.16724	
10,1,100,33,0.033,0.033,1.16828	
10,1,100,33,0.033,0.1,1.1662	
10,1,100,33,0.033,0.33,1.16529	
10,1,100,33,0.1,0.001,1.16425	
10,1,100,33,0.1,0.0033,1.16828	
10,1,100,33,0.1,0.01,1.1623	
10,1,100,33,0.1,0.033,1.16816	
10,1,100,33,0.1,0.1,1.1662	
10,1,100,33,0.1,0.33,1.1731	
10,1,100,33,0.3,0.001,1.1662	
10,1,100,33,0.3,0.0033,1.16529	
10,1,100,33,0.3,0.01,1.16529	
10,1,100,33,0.3,0.033,1.16828	
10,1,100,33,0.3,0.1,1.16828	
10,1,100,33,0.3,0.33,1.1662	
10,1,100,33,0.9,0.001,1.16425	
10,1,100,33,0.9,0.0033,1.1662	
10,1,100,33,0.9,0.01,1.16724	
10,1,100,33,0.9,0.033,1.16828	
10,1,100,33,0.9,0.1,1.16529	
10,1,100,33,0.9,0.33,1.16529	
10,1,100,330,0.01,0.001,1.17622	
10,1,100,330,0.01,0.0033,1.17921	
10,1,100,330,0.01,0.01,1.17622	
10,1,100,330,0.01,0.033,1.17531	
10,1,100,330,0.01,0.1,1.18025	
10,1,100,330,0.01,0.33,1.17622	
10,1,100,330,0.033,0.001,1.17024	
10,1,100,330,0.033,0.0033,1.17531	
10,1,100,330,0.033,0.01,1.17232	
10,1,100,330,0.033,0.033,1.17128	
10,1,100,330,0.033,0.1,1.1692	
10,1,100,330,0.033,0.33,1.17024	
10,1,100,330,0.1,0.001,1.16828	
10,1,100,330,0.1,0.0033,1.16724	
10,1,100,330,0.1,0.01,1.16828	
10,1,100,330,0.1,0.033,1.17726	
10,1,100,330,0.1,0.1,1.17024	
10,1,100,330,0.1,0.33,1.16816	
10,1,100,330,0.3,0.001,1.16828	
10,1,100,330,0.3,0.0033,1.17115	
10,1,100,330,0.3,0.01,1.16828	
10,1,100,330,0.3,0.033,1.17024	
10,1,100,330,0.3,0.1,1.16828	
10,1,100,330,0.3,0.33,1.16932	
10,1,100,330,0.9,0.001,1.16828	
10,1,100,330,0.9,0.0033,1.17024	
10,1,100,330,0.9,0.01,1.1692	
10,1,100,330,0.9,0.033,1.16828	
10,1,100,330,0.9,0.1,1.16828	
10,1,100,330,0.9,0.33,1.16828	
10,1,1000,100,0.01,0.001,1.17518	
10,1,1000,100,0.01,0.0033,1.17518	
10,1,1000,100,0.01,0.01,1.17921	
10,1,1000,100,0.01,0.033,1.17726	
10,1,1000,100,0.01,0.1,1.17024	
10,1,1000,100,0.01,0.33,1.17219	
10,1,1000,100,0.033,0.001,1.17024	
10,1,1000,100,0.033,0.0033,1.17128	
10,1,1000,100,0.033,0.01,1.17427	
10,1,1000,100,0.033,0.033,1.17128	
10,1,1000,100,0.033,0.1,1.17323	
10,1,1000,100,0.033,0.33,1.16828	
10,1,1000,100,0.1,0.001,1.17024	
10,1,1000,100,0.1,0.0033,1.1692	
10,1,1000,100,0.1,0.01,1.1692	
10,1,1000,100,0.1,0.033,1.17128	
10,1,1000,100,0.1,0.1,1.17024	
10,1,1000,100,0.1,0.33,1.17024	
10,1,1000,100,0.3,0.001,1.16932	
10,1,1000,100,0.3,0.0033,1.17232	
10,1,1000,100,0.3,0.01,1.1692	
10,1,1000,100,0.3,0.033,1.1692	
10,1,1000,100,0.3,0.1,1.1692	
10,1,1000,100,0.3,0.33,1.17128	
10,1,1000,100,0.9,0.001,1.17024	
10,1,1000,100,0.9,0.0033,1.17115	
10,1,1000,100,0.9,0.01,1.17024	
10,1,1000,100,0.9,0.033,1.17128	
10,1,1000,100,0.9,0.1,1.17024	
10,1,1000,100,0.9,0.33,1.17024	
10,1,1000,1000,0.01,0.001,1.17622	
10,1,1000,1000,0.01,0.0033,1.18221	
10,1,1000,1000,0.01,0.01,1.17726	
10,1,1000,1000,0.01,0.033,1.18025	
10,1,1000,1000,0.01,0.1,1.17622	
10,1,1000,1000,0.01,0.33,1.17921	
10,1,1000,1000,0.033,0.001,1.17531	
10,1,1000,1000,0.033,0.0033,1.17427	
10,1,1000,1000,0.033,0.01,1.17323	
10,1,1000,1000,0.033,0.033,1.17323	
10,1,1000,1000,0.033,0.1,1.17323	
10,1,1000,1000,0.033,0.33,1.17232	
10,1,1000,1000,0.1,0.001,1.17232	
10,1,1000,1000,0.1,0.0033,1.17323	
10,1,1000,1000,0.1,0.01,1.17219	
10,1,1000,1000,0.1,0.033,1.17336	
10,1,1000,1000,0.1,0.1,1.17128	
10,1,1000,1000,0.1,0.33,1.17622	
10,1,1000,1000,0.3,0.001,1.17323	
10,1,1000,1000,0.3,0.0033,1.17726	
10,1,1000,1000,0.3,0.01,1.17232	
10,1,1000,1000,0.3,0.033,1.17323	
10,1,1000,1000,0.3,0.1,1.17414	
10,1,1000,1000,0.3,0.33,1.17219	
10,1,1000,1000,0.9,0.001,1.17323	
10,1,1000,1000,0.9,0.0033,1.17323	
10,1,1000,1000,0.9,0.01,1.17323	
10,1,1000,1000,0.9,0.033,1.17323	
10,1,1000,1000,0.9,0.1,1.17726	
10,1,1000,1000,0.9,0.33,1.17323	
10,1,1000,33,0.01,0.001,1.17323	
10,1,1000,33,0.01,0.0033,1.17232	
10,1,1000,33,0.01,0.01,1.17622	
10,1,1000,33,0.01,0.033,1.17024	
10,1,1000,33,0.01,0.1,1.17427	
10,1,1000,33,0.01,0.33,1.17115	
10,1,1000,33,0.033,0.001,1.17024	
10,1,1000,33,0.033,0.0033,1.17024	
10,1,1000,33,0.033,0.01,1.1692	
10,1,1000,33,0.033,0.033,1.17024	
10,1,1000,33,0.033,0.1,1.17219	
10,1,1000,33,0.033,0.33,1.17232	
10,1,1000,33,0.1,0.001,1.17024	
10,1,1000,33,0.1,0.0033,1.16932	
10,1,1000,33,0.1,0.01,1.1692	
10,1,1000,33,0.1,0.033,1.16816	
10,1,1000,33,0.1,0.1,1.16828	
10,1,1000,33,0.1,0.33,1.1692	
10,1,1000,33,0.3,0.001,1.16828	
10,1,1000,33,0.3,0.0033,1.16828	
10,1,1000,33,0.3,0.01,1.16932	
10,1,1000,33,0.3,0.033,1.17024	
10,1,1000,33,0.3,0.1,1.17024	
10,1,1000,33,0.3,0.33,1.1692	
10,1,1000,33,0.9,0.001,1.17115	
10,1,1000,33,0.9,0.0033,1.1692	
10,1,1000,33,0.9,0.01,1.16828	
10,1,1000,33,0.9,0.033,1.17128	
10,1,1000,33,0.9,0.1,1.1692	
10,1,1000,33,0.9,0.33,1.1692	
10,1,1000,330,0.01,0.001,1.17622	
10,1,1000,330,0.01,0.0033,1.17427	
10,1,1000,330,0.01,0.01,1.17726	
10,1,1000,330,0.01,0.033,1.17921	
10,1,1000,330,0.01,0.1,1.17622	
10,1,1000,330,0.01,0.33,1.1783	
10,1,1000,330,0.033,0.001,1.17323	
10,1,1000,330,0.033,0.0033,1.17115	
10,1,1000,330,0.033,0.01,1.17518	
10,1,1000,330,0.033,0.033,1.17323	
10,1,1000,330,0.033,0.1,1.17128	
10,1,1000,330,0.033,0.33,1.17219	
10,1,1000,330,0.1,0.001,1.17323	
10,1,1000,330,0.1,0.0033,1.17323	
10,1,1000,330,0.1,0.01,1.17128	
10,1,1000,330,0.1,0.033,1.17115	
10,1,1000,330,0.1,0.1,1.17219	
10,1,1000,330,0.1,0.33,1.17219	
10,1,1000,330,0.3,0.001,1.17323	
10,1,1000,330,0.3,0.0033,1.17128	
10,1,1000,330,0.3,0.01,1.17232	
10,1,1000,330,0.3,0.033,1.17219	
10,1,1000,330,0.3,0.1,1.17128	
10,1,1000,330,0.3,0.33,1.17219	
10,1,1000,330,0.9,0.001,1.17128	
10,1,1000,330,0.9,0.0033,1.17219	
10,1,1000,330,0.9,0.01,1.17427	
10,1,1000,330,0.9,0.033,1.17323	
10,1,1000,330,0.9,0.1,1.17128	
10,1,1000,330,0.9,0.33,1.17024	
10,1,330,100,0.01,0.001,1.17323	
10,1,330,100,0.01,0.0033,1.17219	
10,1,330,100,0.01,0.01,1.17323	
10,1,330,100,0.01,0.033,1.17128	
10,1,330,100,0.01,0.1,1.17427	
10,1,330,100,0.01,0.33,1.17622	
10,1,330,100,0.033,0.001,1.17323	
10,1,330,100,0.033,0.0033,1.17427	
10,1,330,100,0.033,0.01,1.17427	
10,1,330,100,0.033,0.033,1.16932	
10,1,330,100,0.033,0.1,1.16828	
10,1,330,100,0.033,0.33,1.17024	
10,1,330,100,0.1,0.001,1.16828	
10,1,330,100,0.1,0.0033,1.17024	
10,1,330,100,0.1,0.01,1.17128	
10,1,330,100,0.1,0.033,1.17024	
10,1,330,100,0.1,0.1,1.17323	
10,1,330,100,0.1,0.33,1.16932	
10,1,330,100,0.3,0.001,1.17115	
10,1,330,100,0.3,0.0033,1.16724	
10,1,330,100,0.3,0.01,1.17024	
10,1,330,100,0.3,0.033,1.17024	
10,1,330,100,0.3,0.1,1.1692	
10,1,330,100,0.3,0.33,1.17024	
10,1,330,100,0.9,0.001,1.17128	
10,1,330,100,0.9,0.0033,1.16724	
10,1,330,100,0.9,0.01,1.16816	
10,1,330,100,0.9,0.033,1.17024	
10,1,330,100,0.9,0.1,1.16828	
10,1,330,100,0.9,0.33,1.16724	
10,1,330,1000,0.01,0.001,1.18025	
10,1,330,1000,0.01,0.0033,1.17921	
10,1,330,1000,0.01,0.01,1.18221	
10,1,330,1000,0.01,0.033,1.17921	
10,1,330,1000,0.01,0.1,1.18025	
10,1,330,1000,0.01,0.33,1.18416	
10,1,330,1000,0.033,0.001,1.17518	
10,1,330,1000,0.033,0.0033,1.17818	
10,1,330,1000,0.033,0.01,1.17323	
10,1,330,1000,0.033,0.033,1.17427	
10,1,330,1000,0.033,0.1,1.17336	
10,1,330,1000,0.033,0.33,1.17219	
10,1,330,1000,0.1,0.001,1.17518	
10,1,330,1000,0.1,0.0033,1.17024	
10,1,330,1000,0.1,0.01,1.17232	
10,1,330,1000,0.1,0.033,1.17518	
10,1,330,1000,0.1,0.1,1.17323	
10,1,330,1000,0.1,0.33,1.17128	
10,1,330,1000,0.3,0.001,1.17323	
10,1,330,1000,0.3,0.0033,1.17128	
10,1,330,1000,0.3,0.01,1.17115	
10,1,330,1000,0.3,0.033,1.17128	
10,1,330,1000,0.3,0.1,1.17427	
10,1,330,1000,0.3,0.33,1.17036	
10,1,330,1000,0.9,0.001,1.17518	
10,1,330,1000,0.9,0.0033,1.17323	
10,1,330,1000,0.9,0.01,1.17024	
10,1,330,1000,0.9,0.033,1.17219	
10,1,330,1000,0.9,0.1,1.17219	
10,1,330,1000,0.9,0.33,1.17128	
10,1,330,33,0.01,0.001,1.16737	
10,1,330,33,0.01,0.0033,1.17726	
10,1,330,33,0.01,0.01,1.17128	
10,1,330,33,0.01,0.033,1.1692	
10,1,330,33,0.01,0.1,1.17219	
10,1,330,33,0.01,0.33,1.17024	
10,1,330,33,0.033,0.001,1.16907	
10,1,330,33,0.033,0.0033,1.16828	
10,1,330,33,0.033,0.01,1.16724	
10,1,330,33,0.033,0.033,1.1692	
10,1,330,33,0.033,0.1,1.17024	
10,1,330,33,0.033,0.33,1.16828	
10,1,330,33,0.1,0.001,1.16737	
10,1,330,33,0.1,0.0033,1.16633	
10,1,330,33,0.1,0.01,1.16724	
10,1,330,33,0.1,0.033,1.16828	
10,1,330,33,0.1,0.1,1.16737	
10,1,330,33,0.1,0.33,1.1692	
10,1,330,33,0.3,0.001,1.16828	
10,1,330,33,0.3,0.0033,1.16737	
10,1,330,33,0.3,0.01,1.16724	
10,1,330,33,0.3,0.033,1.16724	
10,1,330,33,0.3,0.1,1.16724	
10,1,330,33,0.3,0.33,1.16529	
10,1,330,33,0.9,0.001,1.16633	
10,1,330,33,0.9,0.0033,1.16932	
10,1,330,33,0.9,0.01,1.17024	
10,1,330,33,0.9,0.033,1.1662	
10,1,330,33,0.9,0.1,1.17024	
10,1,330,33,0.9,0.33,1.16529	
10,1,330,330,0.01,0.001,1.17818	
10,1,330,330,0.01,0.0033,1.17818	
10,1,330,330,0.01,0.01,1.17323	
10,1,330,330,0.01,0.033,1.17427	
10,1,330,330,0.01,0.1,1.17518	
10,1,330,330,0.01,0.33,1.17622	
10,1,330,330,0.033,0.001,1.17232	
10,1,330,330,0.033,0.0033,1.17518	
10,1,330,330,0.033,0.01,1.17427	
10,1,330,330,0.033,0.033,1.17128	
10,1,330,330,0.033,0.1,1.17219	
10,1,330,330,0.033,0.33,1.17024	
10,1,330,330,0.1,0.001,1.17024	
10,1,330,330,0.1,0.0033,1.17622	
10,1,330,330,0.1,0.01,1.16932	
10,1,330,330,0.1,0.033,1.17427	
10,1,330,330,0.1,0.1,1.17219	
10,1,330,330,0.1,0.33,1.17323	
10,1,330,330,0.3,0.001,1.17024	
10,1,330,330,0.3,0.0033,1.17427	
10,1,330,330,0.3,0.01,1.17128	
10,1,330,330,0.3,0.033,1.17036	
10,1,330,330,0.3,0.1,1.17024	
10,1,330,330,0.3,0.33,1.17024	
10,1,330,330,0.9,0.001,1.17128	
10,1,330,330,0.9,0.0033,1.17024	
10,1,330,330,0.9,0.01,1.17115	
10,1,330,330,0.9,0.033,1.1692	
10,1,330,330,0.9,0.1,1.17024	
10,1,330,330,0.9,0.33,1.17128	
10,1,3300,100,0.01,0.001,1.17427	
10,1,3300,100,0.01,0.0033,1.17219	
10,1,3300,100,0.01,0.01,1.17518	
10,1,3300,100,0.01,0.033,1.17232	
10,1,3300,100,0.01,0.1,1.17323	
10,1,3300,100,0.01,0.33,1.17427	
10,1,3300,100,0.033,0.001,1.17323	
10,1,3300,100,0.033,0.0033,1.17128	
10,1,3300,100,0.033,0.01,1.17427	
10,1,3300,100,0.033,0.033,1.17518	
10,1,3300,100,0.033,0.1,1.17323	
10,1,3300,100,0.033,0.33,1.17024	
10,1,3300,100,0.1,0.001,1.17323	
10,1,3300,100,0.1,0.0033,1.17128	
10,1,3300,100,0.1,0.01,1.17128	
10,1,3300,100,0.1,0.033,1.17128	
10,1,3300,100,0.1,0.1,1.17036	
10,1,3300,100,0.1,0.33,1.17128	
10,1,3300,100,0.3,0.001,1.17427	
10,1,3300,100,0.3,0.0033,1.17219	
10,1,3300,100,0.3,0.01,1.17219	
10,1,3300,100,0.3,0.033,1.17518	
10,1,3300,100,0.3,0.1,1.17232	
10,1,3300,100,0.3,0.33,1.17128	
10,1,3300,100,0.9,0.001,1.17128	
10,1,3300,100,0.9,0.0033,1.17518	
10,1,3300,100,0.9,0.01,1.17128	
10,1,3300,100,0.9,0.033,1.17323	
10,1,3300,100,0.9,0.1,1.17115	
10,1,3300,100,0.9,0.33,1.17323	
10,1,3300,1000,0.033,0.1,1.17818	
10,1,3300,1000,0.033,0.33,1.17622	
10,1,3300,1000,0.1,0.001,1.17622	
10,1,3300,1000,0.1,0.0033,1.17323	
10,1,3300,1000,0.1,0.01,1.17427	
10,1,3300,1000,0.1,0.033,1.17726	
10,1,3300,1000,0.1,0.1,1.17427	
10,1,3300,1000,0.1,0.33,1.17323	
10,1,3300,1000,0.3,0.001,1.17323	
10,1,3300,1000,0.3,0.0033,1.17622	
10,1,3300,1000,0.3,0.01,1.17531	
10,1,3300,1000,0.3,0.033,1.17427	
10,1,3300,1000,0.3,0.1,1.17427	
10,1,3300,1000,0.3,0.33,1.17414	
10,1,3300,1000,0.9,0.001,1.17531	
10,1,3300,1000,0.9,0.0033,1.17427	
10,1,3300,1000,0.9,0.01,1.17427	
10,1,3300,1000,0.9,0.033,1.17323	
10,1,3300,1000,0.9,0.1,1.17714	
10,1,3300,1000,0.9,0.33,1.17232	
10,1,3300,33,0.01,0.001,1.17518	
10,1,3300,33,0.01,0.0033,1.17219	
10,1,3300,33,0.01,0.01,1.17518	
10,1,3300,33,0.01,0.033,1.17323	
10,1,3300,33,0.01,0.1,1.17115	
10,1,3300,33,0.01,0.33,1.17232	
10,1,3300,33,0.033,0.001,1.17115	
10,1,3300,33,0.033,0.0033,1.17024	
10,1,3300,33,0.033,0.01,1.17414	
10,1,3300,33,0.033,0.033,1.17219	
10,1,3300,33,0.033,0.1,1.17518	
10,1,3300,33,0.033,0.33,1.17115	
10,1,3300,33,0.1,0.001,1.17128	
10,1,3300,33,0.1,0.0033,1.17024	
10,1,3300,33,0.1,0.01,1.17128	
10,1,3300,33,0.1,0.033,1.17024	
10,1,3300,33,0.1,0.1,1.1692	
10,1,3300,33,0.1,0.33,1.17128	
10,1,3300,33,0.3,0.001,1.17024	
10,1,3300,33,0.3,0.0033,1.17024	
10,1,3300,33,0.3,0.01,1.17323	
10,1,3300,33,0.3,0.033,1.17128	
10,1,3300,33,0.3,0.1,1.17128	
10,1,3300,33,0.3,0.33,1.17024	
10,1,3300,33,0.9,0.001,1.17024	
10,1,3300,33,0.9,0.0033,1.17024	
10,1,3300,33,0.9,0.01,1.16932	
10,1,3300,33,0.9,0.033,1.17024	
10,1,3300,33,0.9,0.1,1.17128	
10,1,3300,33,0.9,0.33,1.17024	
10,1,3300,330,0.01,0.001,1.18025	
10,1,3300,330,0.01,0.0033,1.17622	
10,1,3300,330,0.01,0.01,1.17635	
10,1,3300,330,0.01,0.033,1.18129	
10,1,3300,330,0.01,0.1,1.17531	
10,1,3300,330,0.01,0.33,1.17818	
10,1,3300,330,0.033,0.001,1.17427	
10,1,3300,330,0.033,0.0033,1.17726	
10,1,3300,330,0.033,0.01,1.17232	
10,1,3300,330,0.033,0.033,1.17323	
10,1,3300,330,0.033,0.1,1.17531	
10,1,3300,330,0.033,0.33,1.17323	
10,1,3300,330,0.1,0.001,1.17219	
10,1,3300,330,0.1,0.0033,1.17323	
10,1,3300,330,0.1,0.01,1.17323	
10,1,3300,330,0.1,0.033,1.17323	
10,1,3300,330,0.1,0.1,1.17518	
10,1,3300,330,0.1,0.33,1.17622	
10,1,3300,330,0.3,0.001,1.17219	
10,1,3300,330,0.3,0.0033,1.17622	
10,1,3300,330,0.3,0.01,1.17531	
10,1,3300,330,0.3,0.033,1.17427	
10,1,3300,330,0.3,0.1,1.17414	
10,1,3300,330,0.3,0.33,1.17323	
10,1,3300,330,0.9,0.001,1.17323	
10,1,3300,330,0.9,0.0033,1.17323	
10,1,3300,330,0.9,0.01,1.17323	
10,1,3300,330,0.9,0.033,1.17323	
10,1,3300,330,0.9,0.1,1.17323	
10,1,3300,330,0.9,0.33,1.17323	
11,1,100,100,0.01,0.001,1.19386	
11,1,100,100,0.01,0.0033,1.19186	
11,1,100,100,0.01,0.01,1.19335	
11,1,100,100,0.01,0.033,1.1934	
11,1,100,100,0.01,0.1,1.19587	
11,1,100,100,0.01,0.33,1.19294	
11,1,100,100,0.033,0.001,1.19139	
11,1,100,100,0.033,0.0033,1.19036	
11,1,100,100,0.033,0.01,1.19237	
11,1,100,100,0.033,0.033,1.19042	
11,1,100,100,0.033,0.1,1.18944	
11,1,100,100,0.033,0.33,1.19093	
11,1,100,100,0.1,0.001,1.19191	
11,1,100,100,0.1,0.0033,1.1899	
11,1,100,100,0.1,0.01,1.19088	
11,1,100,100,0.1,0.033,1.19237	
11,1,100,100,0.1,0.1,1.19237	
11,1,100,100,0.1,0.33,1.1899	
11,1,100,100,0.3,0.001,1.18944	
11,1,100,100,0.3,0.0033,1.19243	
11,1,100,100,0.3,0.01,1.19134	
11,1,100,100,0.3,0.033,1.18887	
